year,stage,h1,h2,h3,h4
2014,11,18256.2,8356.8,2510.0,2319.8333333333335
2014,12,34680.22580645161,7799.612903225807,6552.741935483871,4675.0
2015,1,22136.225806451614,15692.290322580646,3926.0,5987.580645161291
2015,2,34484.71428571428,11727.857142857143,4243.0,7534.785714285715
2015,3,42725.41935483871,8066.387096774193,5668.064516129032,10838.516129032258
2015,4,36755.333333333336,7076.433333333333,6801.3,12825.333333333334
2015,5,29900.967741935485,6798.935483870968,4286.709677419355,11546.09677419355
2015,6,22850.6,13865.3,2568.233333333333,5283.1
2015,7,28200.516129032258,28396.677419354837,2004.032258064516,2788.4193548387098
2015,8,15977.258064516129,8201.967741935483,1729.1290322580646,1896.9354838709678
2015,9,20881.866666666665,13679.333333333334,1380.7,1228.9333333333334
2015,10,19782.387096774193,30754.935483870966,1046.967741935484,1210.483870967742
2015,11,31888.066666666666,18999.4,1055.2666666666667,1460.2
2015,12,42828.74193548387,21753.548387096773,3180.2903225806454,1581.4516129032259
2016,1,79774.0,15006.225806451614,7340.129032258064,5056.548387096775
2016,2,58432.51724137931,13870.931034482759,13775.241379310344,9358.241379310344
2016,3,64348.12903225807,14945.90322580645,4844.5161290322585,8950.290322580646
2016,4,37298.8,9724.166666666666,2750.266666666667,7933.7
2016,5,33803.74193548387,10919.225806451614,1674.3225806451612,4202.4838709677415
2016,6,37570.23333333333,9857.466666666667,1461.7333333333333,2392.866666666667
2016,7,22565.387096774193,10636.354838709678,1251.4516129032259,1832.0
2016,8,21077.774193548386,11490.516129032258,1292.0,1181.0
2016,9,18529.066666666666,8938.333333333334,1153.1,1067.6
2016,10,19830.516129032258,12527.161290322581,1333.2903225806451,1071.2903225806451
2016,11,27177.1,6764.466666666666,2078.5,1619.0
2016,12,36780.54838709677,7455.741935483871,5652.322580645161,2917.2258064516127
2017,1,43990.903225806454,11794.870967741936,4115.1612903225805,4229.967741935484
2017,2,49413.42857142857,8571.214285714286,4919.071428571428,10809.67857142857
2017,3,45626.032258064515,6042.774193548387,3518.2580645161293,14156.741935483871
2017,4,39045.96666666667,5532.133333333333,2786.266666666667,12786.666666666666
2017,5,38930.3870967742,14428.161290322581,1652.741935483871,7091.419354838709
2017,6,33954.26666666667,28458.333333333332,1535.2,3699.0666666666666
2017,7,20073.1935483871,4276.129032258064,1271.8387096774193,2301.7741935483873
2017,8,17272.129032258064,5233.5161290322585,1203.1290322580646,1551.1290322580646
2017,9,12804.333333333334,2747.266666666667,1024.4333333333334,1194.1
