iteration,bound,simulation_value,num_cuts_generated,wall_time_s,has_converged
251,1.3030979463310526e8,4.734861479311338e7,15,0.01964712142944336,false
252,1.3031885120763314e8,7.941067085626215e6,2,0.003432035446166992,false
253,1.3031976490946296e8,3.1120301181240886e7,9,0.012189865112304688,false
254,1.3032401588316178e8,3.3685836099999994e6,1,0.0020329952239990234,false
255,1.3032633669712886e8,6.885202974141195e6,2,0.003437042236328125,false
256,1.3033490971723436e8,2.7041438224271804e7,6,0.008949041366577148,false
257,1.303356039855051e8,2.221659470207368e7,8,0.010091066360473633,false
258,1.303358099124411e8,3.3685836099999994e6,1,0.0021209716796875,false
259,1.303368333952721e8,1.3383515743693173e7,4,0.005761861801147461,false
260,1.3033796325080106e8,3.0337975894883677e7,9,0.011399984359741211,false
261,1.303400453647787e8,6.774862009212419e6,2,0.003401041030883789,false
262,1.3034150889688455e8,9.5409801127915e7,17,0.021893978118896484,false
263,1.303442397311385e8,3.3685836099999994e6,1,0.0020520687103271484,false
264,1.3035008616973922e8,3.3685836099999994e6,1,0.002026081085205078,false
265,1.3035047487183826e8,2.13866720961062e7,6,0.008353948593139648,false
266,1.3037534901669401e8,4.159296332709506e7,7,0.009670019149780273,false
267,1.3037606271992087e8,9.19222292224042e7,23,0.02866387367248535,false
268,1.3037706946645547e8,9.997907431148827e6,3,0.004395008087158203,false
269,1.3037757924046849e8,3.3685836099999994e6,1,0.0020949840545654297,false
270,1.304076687778247e8,5.697654865199366e7,10,0.012529134750366211,false
271,1.3040944778548232e8,1.5192479369521424e7,5,0.006520986557006836,false
272,1.3041678868225373e8,1.8553745220766917e7,4,0.006020069122314453,false
273,1.3041716237378682e8,2.2260502408461446e8,50,0.060846805572509766,false
274,1.3042987423272833e8,5.939583568479708e7,11,0.014779090881347656,false
275,1.3044765832565254e8,6.645320674123675e6,2,0.0035779476165771484,false
276,1.3044823304390709e8,3.2446297993801355e7,10,0.013447046279907227,false
277,1.3048740331878512e8,6.643089656197862e7,16,0.02017807960510254,false
278,1.3048811731833586e8,3.914523963961606e7,9,0.011619806289672852,false
279,1.304916201405217e8,1.952849910193409e7,7,0.009118080139160156,false
280,1.305089872459364e8,2.9180961320054173e7,9,0.011801958084106445,false
281,1.3051164487283024e8,3.3851176505476236e6,1,0.002142190933227539,false
282,1.305160242601029e8,6.532607006619811e7,11,0.015154838562011719,false
283,1.305176647895243e8,1.1225284374378666e7,3,0.0048029422760009766,false
284,1.3052377681790234e8,1.6991956143542394e7,4,0.005759000778198242,false
285,1.305248193117728e8,6.252309600309476e6,2,0.003506183624267578,false
286,1.3052732933557937e8,7.770502583741537e7,15,0.06416487693786621,false
287,1.305362914032308e8,5.6478064933653966e7,10,0.01409602165222168,false
288,1.3055551373683691e8,4.843201079754192e7,10,0.01400303840637207,false
289,1.3057968170990968e8,3.737679542921297e7,12,0.014467954635620117,false
290,1.3058219463635254e8,6.757218367765114e6,2,0.003401041030883789,false
291,1.305991772271739e8,1.8758785767349005e7,4,0.005852937698364258,false
292,1.306045162095923e8,1.49820589957605e7,4,0.005946159362792969,false
293,1.3063947340217881e8,1.1744108588958354e8,28,0.034323930740356445,false
294,1.306428271202844e8,2.463816331548783e7,6,0.008085012435913086,false
295,1.3066204842315815e8,8.18949423255552e7,17,0.021502017974853516,false
296,1.3066330045397162e8,3.2968104942344204e7,6,0.008219003677368164,false
297,1.3066860387137042e8,2.468035612132688e7,9,0.010869979858398438,false
298,1.3066941324799214e8,6.184648020850311e7,16,0.0197598934173584,false
299,1.3067064892835563e8,1.1086187752694163e8,20,0.025393009185791016,false
300,1.3067081413360377e8,8.555405832096368e6,3,0.0043261051177978516,true
